Hs_sim,T_sim,dir_sim,n_sim,damage_copper_pthies,scaled_damage_copper_pthies,damage_copper_pthies_total
0.5,2.5,90,160.0,2.3132262007113017e-06,0.0003701161921138083,0.0003701161921138083
0.5,3.5,90,2064.0,2.170667591592161e-06,0.00448025790904622,0.0048503741011600284
1.5,3.5,90,110.0,2.8546086608539695e-06,0.00031400695269393663,0.005164381053853965
0.5,4.5,90,802.0,2.5064090341944125e-06,0.0020101400454239186,0.007174521099277883
1.5,4.5,90,726.0,3.0206034251143473e-06,0.002192958086633016,0.0093674791859109
2.5,4.5,90,13.0,3.4805049144206694e-06,4.52465638874687e-05,0.009412725749798368
0.5,5.5,90,89.0,2.5307460527784406e-06,0.00022523639869728121,0.00963796214849565
1.5,5.5,90,188.0,3.1551671815251055e-06,0.0005931714301267198,0.010231133578622369
2.5,5.5,90,110.0,2.6418677443265697e-06,0.0002906054518759227,0.010521739030498292
3.5,5.5,90,3.0,2.5405822349202687e-06,7.621746704760806e-06,0.010529360777203053
0.5,6.5,90,4.0,2.397333979818888e-06,9.589335919275553e-06,0.01053895011312233
1.5,6.5,90,2.0,2.819025288193981e-06,5.638050576387962e-06,0.010544588163698717
2.5,6.5,90,4.0,2.4935673631486962e-06,9.974269452594785e-06,0.010554562433151312
3.5,6.5,90,16.0,2.407908885215536e-06,3.852654216344857e-05,0.01059308897531476
0.5,2.5,180,204.0,0,0.0,0.01059308897531476
0.5,3.5,180,2133.0,0,0.0,0.01059308897531476
1.5,3.5,180,545.0,0,0.0,0.01059308897531476
0.5,4.5,180,97.0,0,0.0,0.01059308897531476
1.5,4.5,180,460.0,0,0.0,0.01059308897531476
2.5,4.5,180,8.0,0,0.0,0.01059308897531476
0.5,5.5,180,5.0,0,0.0,0.01059308897531476
1.5,5.5,180,10.0,0,0.0,0.01059308897531476
2.5,5.5,180,7.0,0,0.0,0.01059308897531476
0.5,6.5,180,3.0,0,0.0,0.01059308897531476
0.5,2.5,270,171.0,2.3132262007113017e-06,0.0003955616803216326,0.010988650655636393
0.5,3.5,270,1397.0,2.170667591592161e-06,0.0030324226254542486,0.014021073281090642
1.5,3.5,270,578.0,2.8546086608539695e-06,0.0016499638059735945,0.015671037087064237
0.5,4.5,270,38.0,2.5064090341944125e-06,9.524354329938768e-05,0.015766280630363623
1.5,4.5,270,487.0,3.0206034251143473e-06,0.001471033868030687,0.01723731449839431
2.5,4.5,270,64.0,3.4805049144206694e-06,0.00022275231452292284,0.01746006681291723
0.5,5.5,270,4.0,2.5307460527784406e-06,1.0122984211113762e-05,0.017470189797128343
1.5,5.5,270,2.0,3.1551671815251055e-06,6.310334363050211e-06,0.017476500131491393
2.5,5.5,270,10.0,2.6418677443265697e-06,2.6418677443265696e-05,0.017502918808934658
3.5,5.5,270,1.0,2.5405822349202687e-06,2.5405822349202687e-06,0.017505459391169577
0.5,6.5,270,3.0,2.397333979818888e-06,7.1920019394566645e-06,0.017512651393109032
0.5,0.5,0,3.0,0,0.0,0.017512651393109032
0.5,2.5,0,84.0,0,0.0,0.017512651393109032
0.5,3.5,0,1591.0,0,0.0,0.017512651393109032
1.5,3.5,0,165.0,0,0.0,0.017512651393109032
0.5,4.5,0,1423.0,0,0.0,0.017512651393109032
1.5,4.5,0,1397.0,0,0.0,0.017512651393109032
2.5,4.5,0,63.0,0,0.0,0.017512651393109032
0.5,5.5,0,502.0,0,0.0,0.017512651393109032
1.5,5.5,0,908.0,0,0.0,0.017512651393109032
2.5,5.5,0,589.0,0,0.0,0.017512651393109032
3.5,5.5,0,24.0,0,0.0,0.017512651393109032
0.5,6.5,0,54.0,0,0.0,0.017512651393109032
1.5,6.5,0,51.0,0,0.0,0.017512651393109032
2.5,6.5,0,59.0,0,0.0,0.017512651393109032
3.5,6.5,0,40.0,0,0.0,0.017512651393109032
0.5,7.5,0,7.0,0,0.0,0.017512651393109032
1.5,7.5,0,2.0,0,0.0,0.017512651393109032
